Depth,First arrival time (1-2),First arrival time (2-3),First arrival time (3-4),First arrival time (4-1),First arrival time (1-3),First arrival time (2-4)
-5.71,108,139,111,149,124,105
-5.72,108,138,112,149,123,104
-5.73,108,138,112,149,123,103
-5.74,108,138,112,149,122,103
-5.75,108,138,113,148,122,103
-5.76,108,138,113,147,122,103
-5.77,108,138,113,146,121,103
-5.78,108,138,113,144,121,103
-5.79,108,139,113,143,120,103
-5.8,108,139,113,142,120,103
-5.81,108,140,113,141,120,103
-5.82,108,141,115,140,119,103
-5.83,108,141,115,139,115,103
-5.84,109,142,115,139,115,102
-5.85,109,143,115,138,115,102
-5.86,109,144,115,138,115,103
-5.87,109,145,115,138,119,103
-5.88,109,146,114,138,119,103
-5.89,110,146,114,138,119,103
-5.9,110,146,113,138,120,103
-5.91,110,146,114,139,120,103
-5.92,110,146,114,139,121,104
-5.93,109,146,114,139,121,104
-5.94,109,145,115,140,121,104
-5.95,109,145,115,141,121,104
-5.96,109,144,115,143,121,105
-5.97,109,144,115,144,121,105
-5.98,109,143,116,146,122,104
-5.99,109,143,116,147,122,104
-6,109,142,116,147,122,104
-6.01,109,142,116,147,123,104
-6.02,109,141,115,148,123,104
-6.03,108,141,115,149,123,104
-6.04,108,141,115,149,123,103
-6.05,108,140,115,149,123,102
-6.06,108,140,115,149,122,102
-6.07,108,141,114,149,122,101
-6.08,108,141,114,148,122,100
-6.09,108,142,114,148,121,100
-6.1,108,143,114,147,121,100
-6.11,107,144,114,146,121,100
-6.12,107,145,114,145,117,100
-6.13,107,146,114,144,116,100
-6.14,107,147,114,144,115,100
-6.15,108,148,114,143,115,100
-6.16,108,148,122,142,115,100
-6.17,108,148,122,141,114,100
-6.18,108,148,122,140,113,100
-6.19,109,148,122,139,113,100
-6.2,109,147,122,138,112,100
-6.21,109,146,122,137,112,100
-6.22,109,145,123,137,112,100
-6.23,109,144,123,136,113,100
-6.24,109,143,123,136,113,100
-6.25,109,143,123,136,113,100
-6.26,109,142,114,136,113,100
-6.27,108,142,115,136,113,100
-6.28,108,141,115,136,114,100
-6.29,108,141,116,137,118,100
-6.3,108,141,120,138,118,100
-6.31,109,141,113,139,117,100
-6.32,109,141,112,141,117,100
-6.33,108,140,111,142,117,101
-6.34,108,140,111,143,117,102
-6.35,108,140,111,144,118,103
-6.36,108,141,111,145,118,103
-6.37,107,141,110,146,119,104
-6.38,107,142,110,147,119,104
-6.39,107,143,109,147,119,105
-6.4,107,144,108,147,120,105
-6.41,106,145,108,146,121,105
-6.42,106,146,108,145,121,106
-6.43,106,147,109,144,121,106
-6.44,106,148,109,143,121,106
-6.45,106,149,109,142,121,107
-6.46,106,150,109,141,121,107
-6.47,106,151,110,140,121,104
-6.48,106,151,110,140,121,103
-6.49,106,151,110,139,120,104
-6.5,106,151,111,138,120,104
-6.51,106,151,112,138,120,105
-6.52,106,149,112,137,120,105
-6.53,106,148,113,136,119,106
-6.54,106,147,114,136,119,106
-6.55,106,146,114,136,121,106
-6.56,107,146,115,135,121,106
-6.57,107,145,116,135,121,106
-6.58,107,144,116,135,121,107
-6.59,107,144,117,135,121,107
-6.6,108,143,117,135,120,107
-6.61,108,142,117,135,119,106
-6.62,108,142,118,136,118,106
-6.63,108,142,118,136,117,106
-6.64,108,142,119,137,117,106
-6.65,109,142,120,138,116,106
-6.66,108,143,120,139,116,106
-6.67,108,143,120,141,113,106
-6.68,108,143,121,143,113,106
-6.69,108,143,121,145,113,106
-6.7,108,144,121,146,113,106
-6.71,108,144,118,147,114,106
-6.72,108,144,118,148,116,106
-6.73,108,145,118,148,116,106
-6.74,108,145,118,149,117,106
-6.75,107,146,118,149,117,106
-6.76,107,146,118,148,118,105
-6.77,107,147,117,147,119,108
-6.78,107,147,117,146,120,108
-6.79,108,147,117,146,121,107
-6.8,108,148,117,145,122,107
-6.81,108,148,116,144,123,106
-6.82,108,148,116,143,123,106
-6.83,109,148,116,142,124,106
-6.84,109,147,116,141,124,105
-6.85,110,147,119,141,125,105
-6.86,110,146,119,140,125,105
-6.87,110,144,118,140,126,104
-6.88,110,142,118,140,126,104
-6.89,110,142,117,140,126,104
-6.9,111,142,117,140,126,103
-6.91,111,142,116,140,126,103
